title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán nhà Vĩnh Hưng, phân tô ô tô tải tránh, DT siêu rộng 51m giá 6.8 tỷ	116386947	51 m²		6,8 tỷ		4 phòng			Đã có sổ	20.9878	105.8772	Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
PHÂN LÔ - OTO TRÁNH - SIÊU VĂN PHÒNG	116552663	60 m²		18,2 tỷ		6 phòng			Đã có sổ	21.012888	105.80821	Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
NHÀ PHÂN LÔ HOÀNG QUỐC VIỆT-70M2-2MẶT NGÕ Ô TÔ TRÁNH,KINH DOANH	116704442	70 m²		19,86 tỷ		6 phòng			Đã có sổ	21.046133	105.80196	Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Hàng Hiếm! Đặng Văn Ngữ- Hồ Đắc Di , 42m*5T ngõ rộng thoáng, ở kdoanh	116454334	42 m²		7,55 tỷ		3 phòng			Đã có sổ	21.0117	105.8302	Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán nhà Ngọc Trì, Thạch Bàn, 72m2, giá 5,35 tỷ, tặng toàn bộ nội thất	116510873	72 m²		5,35 tỷ		4 phòng			Đã có sổ	21.029987	105.91344	Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
BIỆT THỰ TRƯƠNG ĐỊNH BVỆ 24/24 HÀNG XÓM QUAN CHỨC CẤP CAO DT94m2 29 Tỷ	116711605	94 m²		29 tỷ		6 phòng			Đã có sổ	20.991465	105.848915	Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
PHÂN LÔ - OTO TRÁNH - SIÊU VĂN PHÒNG	116552663	60 m²		18,2 tỷ		6 phòng			Đã có sổ	21.012888	105.80821	Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Cần bán CH góc B1009 chung cư 423 Minh Khai, 98m2, 3pn,	116757414			8,5 tỷ		3 phòng			Sổ hồng riêng	21.00178	105.87404	Số 423, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
NHÀ PHÂN LÔ HOÀNG QUỐC VIỆT-70M2-2MẶT NGÕ Ô TÔ TRÁNH,KINH DOANH	116704442	70 m²		19,86 tỷ		6 phòng			Đã có sổ	21.046133	105.80196	Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
🆘🆘CCMN-CHDV-25KK-DÒNG TIỀN 100TR-64/27/22B VTP🆘🆘	116860203	80 m²		14,95 tỷ		nhiều hơn 10 phòng			Đã có sổ	20.997313	105.809845	ngõ 64 ngách 27 số nhà 22B Vũ Trọng Phụng - Thanh Xuân - Hà Nội, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
BIỆT THỰ TRƯƠNG ĐỊNH BVỆ 24/24 HÀNG XÓM QUAN CHỨC CẤP CAO DT94m2 29 Tỷ	116711605	94 m²		29 tỷ		6 phòng			Đã có sổ	20.991465	105.848915	Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Cần bán CH góc B1009 chung cư 423 Minh Khai, 98m2, 3pn,	116757414			8,5 tỷ		3 phòng			Sổ hồng riêng	21.00178	105.87404	Số 423, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
BÁN MẢNH ĐÁT CỰC ĐẸP TẠI KẺ VẼ- NAM TỪ LIÊM: 96M/ mt 5M/ GIÁ CHỈ 2 TỶ	116884098	96 m²		2 tỷ					Đang chờ sổ	21.037838	105.74392	Kẻ Vẽ, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
🆘🆘CCMN-CHDV-25KK-DÒNG TIỀN 100TR-64/27/22B VTP🆘🆘	116860203	80 m²		14,95 tỷ		nhiều hơn 10 phòng			Đã có sổ	20.997313	105.809845	ngõ 64 ngách 27 số nhà 22B Vũ Trọng Phụng - Thanh Xuân - Hà Nội, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
