title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại đường Đặng Tiến Đông	pr42617120	90.0	0.0	25.5	0000	0	0		-1	21.0142248156269	105.821808212391	Đường Đặng Tiến Đông, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại phố Nghĩa Đô	pr42623783	64.0	4.5	24.7	0000	5	4	Đầy đủ	2	21.0483102141437	105.795378308726	Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Cửu Việt	pr41601434	75.0	0.0	8.35	0000	0	0		2	21.0086708914908	105.937063609887	Đường Cửu Việt, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phố Bạch Mai	pr42603777	65.0	0.0	14.48	0010	12	12	Đầy đủ	2	20.9977663871922	105.850602542983	Phố Bạch Mai, Phường Bách Khoa, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Iris Garden	pr42475486	135.0	0.0	7.5	0001	3	2	Đầy đủ	-1	21.0317805512488	105.760874220403	Iris Garden, Trần Hữu Dực, Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Đình Hoàn	pr42503050	40.0	4.3	15.8	0000	3	4	Cơ bản	2	21.0429488435816	105.805067966484	Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đền Lừ	pr42376850	37.4	6.2	19.0	0000	5	5	Đầy đủ.	2	20.9849323099361	105.857868259932	Đường Đền Lừ, Phường Mai Động, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán đất tại xã Lại Yên	pr42320788	60.6	0.0	7.090199999999999	0000	0	0		-1	21.0280922453895	105.711423122859	Xã Lại Yên, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại phố Nghĩa Dũng	pr42631781	43.0	6.56	8.8	0000	4	4		2	21.0476583800261	105.847563497844	Phố Nghĩa Dũng, Phường Phúc Xá, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Sunny Garden City	pr42525075	180.0	0.0	17.25	0000	0	0		2	21.0132770574411	105.641150827822	Dự án Sunny Garden City, Xã Sài Sơn, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr42602330	156.0	0.0	12.99	1001	3	3	Không nội thất	1	21.040780234182	105.895642894351	Sunshine Green Iconic, Phúc Đồng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Ngọc Hà	pr42641757	58.0	7.0	15.49	0000	5	5	Đầy đủ	2	21.0361022698592	105.831268885565	Đường Ngọc Hà, Phường Đội Cấn, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại đường Bồ Đề	pr41405592	110.0	6.5	15.0	0000	0	0		2	21.0379900801157	105.872236580638	Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại phường Thịnh Liệt	pr42624069	65.0	5.0	15.0	0000	6	4	Không nội thất	2	20.9770480046058	105.847117234431	Phường Thịnh Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	pr42572171	50.0	0.0	11.6	0000	4	4	Đầy đủ	2	21.0303577274462	105.914316912438	Đường Nguyễn Văn Linh, Phường Sài Đồng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Tư Đình	pr42412337	86.0	4.35	14.5	0000	1	1		2	21.0286785839772	105.883818452958	Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Tân Tây Đô	pr42617816	91.5	5.0	15.0	0110	4	4	Không nội thất	2	21.07437555021234	105.7004879836154	Dự án Tân Tây Đô, Đường Quốc lộ 32, Xã Tân Lập, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại đường Nguyễn Khang	pr42645121	65.0	5.0	17.0	0000	4	3	Cơ bản	2	21.0273982212955	105.798263817835	Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyên Hồng	pr42642113	35.0	5.1	16.2	0000	3	3	Cơ bản	2	21.0159661528127	105.80962554928	Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường Bát Khối	pr40761563	67.0	0.0	9.5	0000	0	0		2	21.012732	105.9049025	Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội	Long Biên	Hà Nội
Kho, nhà xưởng tại Cụm công nghiệp Kim Bài	pr40866002	2500.0	30.0	19.75	0011	0	0		-1	20.855663	105.76679	Cụm công nghiệp Kim Bài, Đường 21B, Thị trấn Kim Bài, Thanh Oai, Hà Nội	Thanh Oai	Hà Nội
Nhà biệt thự, liền kề tại đường Cầu Giấy	pr42621359	85.0	5.5	28.6	0100	5	4	Đầy đủ	2	21.0343746557559	105.794342706425	Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Stellar Garden	pr38682281	100.0	0.0	7.0	0000	3	2	Đầy đủ	1	20.9989471435547	105.804176330566	Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Shophouse, nhà phố thương mại tại Vinhomes Cổ Loa	pr41918640	75.0	5.0	23.1	1100	5	5		2	21.116058373147435	105.86972816108272	Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội.	Đông Anh	Hà Nội
Nhà riêng tại phố Liễu Giai	pr42579460	57.0	5.7	26.0	0000	0	0	Cơ bản	2	21.0335766354807	105.813429380999	Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội bị	Ba Đình	Hà Nội
