title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
Bán nhà đẹp đường VŨ TRỌNG PHỤNG,THANH XUÂN,33/40m,5 tầng,4 ngủ 7,8 tỷ	125593282	33.0	7.8	4	4	2	21.000574	105.80742	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Cực hiếm Thanh Xuân 46m2, 4 tầng, Mt4m chỉ 6.9 tỷ.	125593853	46.0	6.9	4	3	2	20.992771	105.81429	Thanh Xuân	Hà Nội	Khác	0	26
Bán nhà C4 khu TĐC 918 Phúc Đồng, DT: 50m, đường thông 3 ô tô tránh	125578394	50.0	11.67	2	1	2	21.041388	105.90136	Long Biên	Hà Nội	Nhà riêng	3	14
Chính chủ bán nhà Đại La 33m 6.3tỷ 5 tầng lô góc 10m ra mặt phố	125594070	33.0	6.3	3	4	2	20.997654	105.84315	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Hiếm! Lô góc Vĩnh Phúc, ngõ 3 gác thông, 40m ôtô đỗ,ở ngay, 45m2*5T	125578396	45.0	7.5	4	4	2	21.043482	105.81007	Ba Đình	Hà Nội	Khác	0	1
Nhỉnh 6 tỷ 32m2 5 tầng Khương Đình, Thanh Xuân, gần ô tô	125594201	32.0	6.65	3	3	2	20.992771	105.81429	Thanh Xuân	Hà Nội	Khác	0	26
Bán nhà Thanh Xuân 36m2 gần mặt phố Khương Đình 5 tầng,	125594380	36.0	7.65	4	3	2	20.992903	105.81389	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Cực nhanh! Nhà Pháo Đài Láng, lô góc, ngõ thoáng, ô tô 30m, 43m2 * 5t	125578845	43.0	7.7	3	4	2	21.019154	105.80507	Đống Đa	Hà Nội	Nhà riêng	3	7
Bán gấp ! Cầu Giấy, ngõ 3 gác tránh, 60m ra phố, thoáng, 43m2*4T	125578674	43.0	7.2	4	3	2	21.030447	105.8012	Cầu Giấy	Hà Nội	Khác	0	3
Chính chủ bán nhà Tạ Quang Bửu 45m 8.6tỷ 5 tầng vài bước ô tô tránh	125594528	45.0	8.6	6	4	2	21.003216	105.84803	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Bán nhà Phố Vọng 30m 6.85tỷ 5 tầng ngõ thông sổ đẹp nội thất nhập	125594882	30.0	6.85	3	4	2	20.99573	105.84289	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
PHỐ XÃ ĐÀN 42 m x 5 TẦNG, MẶT TIỀN 5 m - 8,25 TỶ SỔ ĐỎ CHÍNH CHỦ - GẦN	125595245	43.0	8.25	4	4	2	21.011154	105.83688	Đống Đa	Hà Nội	Khác	0	7
TÔN THẤT TÙNG 36 m x 5 TẦNG Ở & CHO THUÊ 6 PHÒNG NGÕ RỘNG THẲNG SỔ ĐỎ	125579574	36.0	7.2	6	4	2	21.00088	105.82909	Đống Đa	Hà Nội	Khác	0	7
Bán căn nhà mặt phố tại Khương Trung, Quận Thanh Xuân, TP Hà Nội	125595632	48.0	8.0	3	3	2	20.99715	105.82169	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Bán nhà Phố Vọng 45m 7.4 tỷ 5 tầng cách mặt phố 30m thoáng mát, sđcc	125596184	45.0	7.4	6	6	2	20.996761	105.84327	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
NHÀ MỚI ĐẸP Ở NGAY - TT ĐỐNG ĐA - KHU VỰC HIẾM NHÀ BÁN  50M RA MẶT PHỐ	125596329	45.0	8.0	3	4	2	21.015984	105.83262	Đống Đa	Hà Nội	Nhà riêng	3	7
BÁN NHÀ ĐÀM QUANG TRUNG - LONG BIÊN,MỚI ĐÉT, THMÁY, FULL NTHÂT, LÔ GÓC	125580255	40.0	8.9	4	5	2	21.026669	105.89605	Long Biên	Hà Nội	Nhà riêng	3	14
Bán nhà Xuân Thuỷ - 56m2 - 5 tầng - 5 ngủ - 4.8m mặt tiền - 12.5 tỷ	125596730	56.0	12.5	5	4	2	21.036514	105.78116	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Cần bán nhà đẹp Ngọc Thuỵ ngay cầu Long Biên  6 tỷ.	125580500	41.0	6.0	3	4	2	21.059816	105.863655	Long Biên	Hà Nội	Nhà riêng	3	14
